辽宁联通,#genre#
CGTN-西班牙语频道,http://113.229.246.106:5566/rtp/232.0.0.191:9200
CGTN-俄语频道,http://113.229.246.106:5566/rtp/232.0.0.43:8660
CGTN-阿拉伯语频道,http://113.229.246.106:5566/rtp/232.0.0.8:8664
CETV1,http://113.229.246.106:5566/rtp/232.0.0.192:9202
CETV2,http://113.229.246.106:5566/rtp/232.0.0.98:8612
CETV4,http://113.229.246.106:5566/rtp/232.0.0.175:9354
辽宁青少,http://113.229.246.106:5566/rtp/232.0.0.230:9356
安徽卫视,http://113.229.246.106:5566/rtp/232.0.0.138:9156
兵团卫视,http://113.229.246.106:5566/rtp/232.0.0.67:8640
北京卫视,http://113.229.246.106:5566/rtp/232.0.0.117:8860
东方卫视,http://113.229.246.106:5566/rtp/232.0.0.128:9100
东南卫视,http://113.229.246.106:5566/rtp/232.0.0.174:9352
甘肃卫视,http://113.229.246.106:5566/rtp/232.0.0.50:8642
广东卫视,http://113.229.246.106:5566/rtp/232.0.0.160:9120
广西卫视,http://113.229.246.106:5566/rtp/232.0.0.127:9300
贵州卫视,http://113.229.246.106:5566/rtp/232.0.0.171:9346
海南卫视,http://113.229.246.106:5566/rtp/232.0.0.195:9208
河北卫视,http://113.229.246.106:5566/rtp/232.0.0.64:8608
河南卫视,http://113.229.246.106:5566/rtp/232.0.0.48:8666
黑龙江卫视,http://113.229.246.106:5566/rtp/232.0.0.95:8866
湖北卫视,http://113.229.246.106:5566/rtp/232.0.0.130:9104
湖南卫视,http://113.229.246.106:5566/rtp/232.0.0.115:8864
吉林卫视,http://113.229.246.106:5566/rtp/232.0.0.170:9344
江苏卫视,http://113.229.246.106:5566/rtp/232.0.0.116:8862
江西卫视,http://113.229.246.106:5566/rtp/232.0.0.112:8606
康巴卫视,http://113.229.246.106:5566/rtp/232.0.0.237:9370
内蒙古卫视,http://113.229.246.106:5566/rtp/232.0.0.111:8718
宁夏卫视,http://113.229.246.106:5566/rtp/232.0.0.34:8644
青海卫视,http://113.229.246.106:5566/rtp/232.0.0.101:8588
厦门卫视,http://113.229.246.106:5566/rtp/232.0.0.183:9184
山东卫视,http://113.229.246.106:5566/rtp/232.0.0.161:9122
山东教育卫视,http://113.229.246.106:5566/rtp/232.0.0.200:9218
山西卫视,http://113.229.246.106:5566/rtp/232.0.0.86:8558
陕西卫视,http://113.229.246.106:5566/rtp/232.0.0.35:8590
深圳卫视,http://113.229.246.106:5566/rtp/232.0.0.110:8868
四川卫视,http://113.229.246.106:5566/rtp/232.0.0.208:9234
天津卫视,http://113.229.246.106:5566/rtp/232.0.0.131:9106
西藏卫视,http://113.229.246.106:5566/rtp/232.0.0.114:8844
西藏卫视(藏语),http://113.229.246.106:5566/rtp/232.0.0.235:9366
新疆卫视,http://113.229.246.106:5566/rtp/232.0.0.18:8722
延边卫视,http://113.229.246.106:5566/rtp/232.0.0.184:9186
云南卫视,http://113.229.246.106:5566/rtp/232.0.0.24:8604
浙江卫视,http://113.229.246.106:5566/rtp/232.0.0.129:9102
重庆卫视,http://113.229.246.106:5566/rtp/232.0.0.209:9236
辽宁经济高清,http://[2409:8087:1408:26::1140]/wh7f454c46tw1240737876_1544577814/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226735/index.m3u8
辽宁公共高清,http://[2409:8087:1408:26::113e]/wh7f454c46tw1258663230_2042115606/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226766/index.m3u8

